time,speed
2015-07-04:21:44:13,64
2015-07-04:21:59:10,64
2015-07-04:22:14:10,64
2015-07-04:22:29:10,64
2015-07-04:22:44:10,64
2015-07-04:22:59:10,64
2015-07-04:23:14:11,64
2015-07-04:23:29:10,64
2015-07-04:23:44:10,64
2015-07-04:23:59:10,64
2015-07-05:00:14:10,64
2015-07-05:00:29:10,64
2015-07-05:00:44:10,64
2015-07-05:00:59:10,64
2015-07-05:01:14:10,64
2015-07-05:01:29:10,64
2015-07-05:01:44:10,64
2015-07-05:01:59:10,64
2015-07-05:02:14:10,64
2015-07-05:02:29:10,64
2015-07-05:02:44:10,64
2015-07-05:02:59:10,64
2015-07-05:03:14:10,64
2015-07-05:03:29:10,64
2015-07-05:03:44:10,64
2015-07-05:03:59:10,64
2015-07-05:04:14:10,64
2015-07-05:04:29:10,64
2015-07-05:04:44:10,64
2015-07-05:04:59:10,64
2015-07-05:05:14:10,64
2015-07-05:05:29:10,64
2015-07-05:05:44:10,64
2015-07-05:05:59:10,64
2015-07-05:06:14:10,64
2015-07-05:06:29:10,64
2015-07-05:06:44:10,64
2015-07-05:06:59:10,64
2015-07-05:07:14:10,64
2015-07-05:07:29:10,64
2015-07-05:07:44:10,64
2015-07-05:07:59:10,64
2015-07-05:08:14:10,64
2015-07-05:08:29:10,64
2015-07-05:08:44:10,64
2015-07-05:08:59:10,64
2015-07-05:09:14:10,64
2015-07-05:09:29:10,64
2015-07-05:09:44:10,64
2015-07-05:09:59:10,64
2015-07-05:10:14:10,64
2015-07-05:10:29:10,64
2015-07-05:10:44:10,64
2015-07-05:10:59:12,64
2015-07-05:11:14:10,64
2015-07-05:11:29:10,64
2015-07-05:11:44:10,64
2015-07-05:11:59:10,64
2015-07-05:12:14:10,64
2015-07-05:12:29:10,64
2015-07-05:12:44:10,64
2015-07-05:12:59:10,64
2015-07-05:13:14:10,64
2015-07-05:13:29:10,64
2015-07-05:13:44:10,64
2015-07-05:13:59:10,64
2015-07-05:14:14:10,64
2015-07-05:14:29:10,64
2015-07-05:14:44:10,64
2015-07-05:14:59:10,64
2015-07-05:15:14:10,64
2015-07-05:15:29:10,64
2015-07-05:15:44:10,64
2015-07-05:15:59:10,64
2015-07-05:16:14:10,64
2015-07-05:16:29:10,64
2015-07-05:16:44:10,64
2015-07-05:16:59:10,64
2015-07-05:17:14:10,64
2015-07-05:17:29:10,64
2015-07-05:17:44:10,64
2015-07-05:17:59:10,64
2015-07-05:18:14:10,64
2015-07-05:18:29:10,64
2015-07-05:18:44:10,64
2015-07-05:18:59:10,64
2015-07-05:19:14:10,64
2015-07-05:19:29:10,64
2015-07-05:19:44:10,64
2015-07-05:19:59:10,64
2015-07-05:20:14:10,64
